,,,accuracy,accuracy,f1,f1,precision,precision,recall,recall
,,,mean,std,mean,std,mean,std,mean,std
n_layers,model,level,,,,,,,,
1,AnsatzRot,easy,0.7446666666666667,0.01634400308313753,0.7458259663358766,0.02757083729227305,0.7487026367165285,0.057254028256047605,0.7573333333333333,0.0968088530196929
1,AnsatzRot,hard,0.7933333333333333,0.045888420395964614,0.802692729708381,0.05440024057177289,0.7673628425184261,0.061514422698481765,0.8613333333333333,0.13523245206663234
1,AnsatzRot,medium,0.8186666666666667,0.0344146453721661,0.8094316684569124,0.053802181572159956,0.8426389964446853,0.02660187594105116,0.788,0.10192627491104232
1,AnsatzRotCNOT,easy,0.748,0.050268245958299936,0.7155633603020998,0.09137821992023634,0.8030879884943913,0.03661968464751472,0.6693333333333334,0.16805034823001672
1,AnsatzRotCNOT,hard,0.7200000000000001,0.041021440987484274,0.7101502104442089,0.1050935570445269,0.7362625694771902,0.07536165280523612,0.7386666666666667,0.20006435746138485
1,AnsatzRotCNOT,medium,0.8493333333333334,0.04258325179379016,0.8463550231563629,0.057094877231736785,0.8531185255422292,0.05088312980075793,0.856,0.1258789785523354
1,AnsatzSingleRotX,easy,0.7966666666666666,0.04301830671520761,0.7721007592257191,0.04327419661583101,0.9049382564532652,0.10387775479062009,0.696,0.11819329580147003
1,AnsatzSingleRotX,hard,0.7773333333333333,0.0511207720338155,0.7485342329365655,0.08300623022468336,0.8504667838742075,0.06833856442528762,0.6920000000000001,0.1504567757839784
1,AnsatzSingleRotX,medium,0.7026666666666667,0.05057826528796959,0.6832695034039411,0.1031844218179613,0.7201810342726405,0.038620058181383636,0.6826666666666666,0.1849311770088674
1,AnsatzSingleRotY,easy,0.7446666666666667,0.01455864083589214,0.7479035581273209,0.023401980533550082,0.7456940431427176,0.05758859497402789,0.7653333333333333,0.10005975226327771
1,AnsatzSingleRotY,hard,0.7913333333333333,0.0474692883171144,0.8046955158040846,0.05283288771020578,0.7543332361834292,0.04384730509738725,0.876,0.12444636013851158
1,AnsatzSingleRotY,medium,0.8246666666666667,0.025560386016907716,0.8197034367092864,0.03454235875931091,0.839273814538129,0.02661932031479339,0.8066666666666666,0.08074366990597502
1,AnsatzSingleRotZ,easy,0.638,0.032947188671862596,0.6194205224861652,0.08415221060476354,0.6522466979300083,0.03751959425469008,0.6173333333333333,0.1656530094511714
1,AnsatzSingleRotZ,hard,0.6446666666666666,0.030482706610451275,0.6595886236460881,0.06162442228497152,0.6460560946290287,0.07218848965489674,0.7106666666666667,0.14769337606451186
1,AnsatzSingleRotZ,medium,0.45266666666666666,0.024344274032324725,0.470561213858211,0.08195426535796842,0.4608341118816818,0.019654697697392875,0.5133333333333333,0.1644496219543223
10,AnsatzRot,easy,0.7766666666666667,0.03642027981234075,0.7812488223600993,0.047002385980895164,0.7784090455195247,0.0889596040986841,0.8146666666666668,0.14267719372483958
10,AnsatzRot,hard,0.778,0.04708026894717075,0.7985125340674931,0.04588784718139762,0.7374332358033387,0.06179410575248331,0.8893333333333333,0.11962393179239372
10,AnsatzRot,medium,0.8173333333333334,0.033521309057367374,0.8105936623240501,0.047932577434696866,0.8339228468426678,0.035227654842853444,0.7986666666666667,0.10529869938396211
10,AnsatzRotCNOT,easy,0.9746666666666666,0.022853858548934635,0.9747887478487606,0.023797780778308245,0.9675985619318953,0.03447947589103388,0.984,0.040137694038878444
10,AnsatzRotCNOT,hard,0.9813333333333333,0.024030631792939117,0.982093722830206,0.021882291355096638,0.969654071535792,0.04153923153691939,0.996,0.012205143065174603
10,AnsatzRotCNOT,medium,0.9733333333333333,0.016883645082279148,0.9737878689937514,0.016395595397100896,0.9649059829059828,0.03386880581174497,0.984,0.022529673919001847
10,AnsatzSingleRotX,easy,0.782,0.043739038035556566,0.7504336500757378,0.07704574082012207,0.8877707958526972,0.11087661830088169,0.6839999999999999,0.158388435662848
10,AnsatzSingleRotX,hard,0.76,0.057774830458277936,0.7157459066520434,0.11498260908816495,0.8599204863651626,0.08533745600477385,0.6519999999999999,0.18824781905591986
10,AnsatzSingleRotX,medium,0.6766666666666666,0.05121511989390558,0.6437128059537964,0.11749742671616352,0.7013906407160829,0.03798499995148458,0.632,0.20379841290708886
10,AnsatzSingleRotY,easy,0.8073333333333333,0.04440668894421769,0.7888655118300323,0.05882843602023604,0.8774686372634899,0.09043220530345115,0.732,0.10616837635534904
10,AnsatzSingleRotY,hard,0.7813333333333333,0.043607444265885344,0.7879478758476017,0.05422278426345198,0.7640429278976703,0.052130461785983635,0.8293333333333333,0.12514635110702307
10,AnsatzSingleRotY,medium,0.8126666666666666,0.04502362087595365,0.8001186100432257,0.06398484878940235,0.8432843829339208,0.0347990035591722,0.772,0.11937769675596284
10,AnsatzSingleRotZ,easy,0.6413333333333334,0.03674078193875663,0.6089844180192426,0.09500022445709622,0.6629349183344738,0.03673401409831314,0.588,0.1651415275996048
10,AnsatzSingleRotZ,hard,0.6466666666666667,0.01988472526464914,0.6542240763570926,0.06851763431548946,0.6538281282881483,0.07667267951170022,0.696,0.1567251052661623
10,AnsatzSingleRotZ,medium,0.45666666666666667,0.022334963055994597,0.45335147191507924,0.10181913697462841,0.45886541202643405,0.017112915850386653,0.484,0.17588397429496838
