dataset,model_classifier,n_layers,friedman_statistics,friedman_p_value,f1_mpnet,f1_matryoshka,f1_nomic,friedman_p_value_fixed,friedman_shows_diff,nemenyi_mpnet_matryoska_p_value,nemenyi_mpnet_nomic_p_value,nemenyi_matryoska_nomic_p_value,nemenyi_mpnet_matryoska_shows_diff,nemenyi_mpnet_nomic_shows_diff,nemenyi_matryoska_nomic_shows_diff
chatgpt_medium,svmpoly,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,logistic,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,randomforest,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,knn,,,,,1.0,1.0,,False,,,,False,False,False
chatgpt_medium,mlp,,,,,0.902614064867997,0.8215969318909101,,False,,,,False,False,False
chatgpt_hard,singlerotx,1.0,32.82352941176472,7.45523177845935e-08,0.748250544993303,0.7843280877611876,0.9003548768716776,2.236569533537805e-06,True,0.1284931263605068,5.863612717593725e-08,0.0006842211769886308,False,True,True
chatgpt_hard,singlerotx,10.0,38.94117647058824,3.499701228801994e-09,0.7039581211942336,0.7728618119457321,0.8848457177176154,1.2948894546567377e-07,True,0.07206403640821568,2.5990042340495734e-09,0.00024279612504052306,False,True,True
chatgpt_hard,singleroty,1.0,42.36974789915965,6.302692861219857e-10,0.8043449642008265,0.8321940478976476,0.8870412142684444,2.521077144487943e-08,True,0.21352631448198245,1.1449187153900198e-09,1.3665968065845746e-05,False,True,True
chatgpt_hard,singleroty,10.0,33.12605042016809,6.408694178444741e-08,0.7896133538294684,0.7849003830889038,0.8821537752846266,1.98669519531787e-06,True,0.8303222995093141,1.0021352860545285e-05,5.116334343968632e-07,False,True,True
chatgpt_hard,singlerotz,1.0,60.0,9.357622968840163e-14,0.66197239350979,0.5336889896921179,0.21359099995802946,4.772387714108483e-12,True,0.0003165295583411609,2.8310687127941492e-14,0.0003165295583411609,True,True,True
chatgpt_hard,singlerotz,10.0,60.0,9.357622968840163e-14,0.6575326113722572,0.5292361963266649,0.19160776201136806,4.772387714108483e-12,True,0.0003165295583411609,2.8310687127941492e-14,0.0003165295583411609,True,True,True
chatgpt_hard,rot,1.0,41.56302521008401,9.43417113465544e-10,0.8084530915616602,0.8330157297618827,0.8879566849499249,3.611930486021391e-08,True,0.33047369241740554,2.5990042340495734e-09,7.318857338844964e-06,False,True,True
chatgpt_hard,rot,10.0,46.666666666666686,7.35295806145377e-11,0.7975327397302298,0.821151029839895,0.9209281483987374,3.2353015470396586e-09,True,0.4002312999983191,3.2466929145158474e-10,7.237300281293102e-07,False,True,True
chatgpt_hard,rotcnot,1.0,51.88235294117646,5.418638828947006e-12,0.7138388569439649,0.8643917021297555,0.771801640444505,2.492573861315623e-10,True,2.333244708552229e-12,0.0028588933234720004,0.0003165295583411609,True,True,True
chatgpt_hard,rotcnot,10.0,43.43820224719097,3.694147484298014e-10,0.99406429238362,0.9986928104575163,0.9779271844199702,1.551541943405166e-08,True,0.29828161019377986,0.00018547441757943428,1.2269541815879137e-07,False,True,True
chatgpt_hard,svmrbf,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,svmlinear,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,svmpoly,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,logistic,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,randomforest,,,,,1.0,0.9803921568627452,,False,,,,False,False,False
chatgpt_hard,knn,,,,,1.0,0.9615384615384612,,False,,,,False,False,False
chatgpt_hard,mlp,,,,,0.9239550484133028,0.9109152827614646,,False,,,,False,False,False
